Printer,Material,Brand,Nozzle_Temp,Bed_Temp,Speed,Notes,Affiliate_Key
Ender 3 V2,PLA,Hatchbox,200,60,50,The gold standard for Ender 3. Reliable.,pla_generic
Ender 3 V2,PLA,Sunlu,205,60,50,Great budget option. Keep dry.,pla_generic
Ender 3 V2,PLA,Overture,200,60,50,Comes with a build surface in the box.,pla_generic
Ender 3 V2,PLA,eSun,210,60,50,PLA+ requires slightly higher temps.,pla_generic
Ender 3 V2,PLA,Polymaker,205,60,50,Matte finish hides layer lines well.,pla_generic
Ender 3 V2,PETG,Overture,240,70,40,Best seller. No fan for first 3 layers.,petg_generic
Ender 3 V2,PETG,Sunlu,235,70,40,Stringing common. Retraction 6mm.,petg_generic
Ender 3 V2,PETG,eSun,240,75,40,Very strong but sensitive to moisture.,petg_generic
Ender 3 V2,TPU,Ninjaflex,225,50,25,DISABLE RETRACTION. Print very slow.,tpu_generic
Ender 3 V2,TPU,Overture,220,50,30,Stiffer TPU. Easier to print than Ninjaflex.,tpu_generic
Bambu Lab X1C,PLA,Bambu Lab,220,55,250,Native high speed support. RFID tag.,bambu_pla
Bambu Lab X1C,PLA,Sunlu,220,55,250,Generic High Speed profile works great.,pla_generic
Bambu Lab X1C,PLA,eSun,220,60,250,PLA+ flows well at high speeds.,pla_generic
Bambu Lab X1C,PLA,Polymaker,220,55,200,PolyTerra needs slightly lower bed temp.,pla_generic
Bambu Lab X1C,PLA,Overture,220,55,200,Cardboard spool - use adapter ring for AMS.,pla_generic
Bambu Lab X1C,PETG,Bambu Lab,255,70,200,Excellent layer adhesion. Dry before use.,bambu_pla
Bambu Lab X1C,PETG,Overture,255,70,200,Slow down outer walls to 150mm/s.,petg_generic
Bambu Lab X1C,PETG,Sunlu,250,75,200,Good budget PETG for prototyping.,petg_generic
Bambu Lab X1C,ABS,Sunlu,260,100,300,Requires enclosure. Filter recommended.,abs_generic
Bambu Lab X1C,ABS,eSun,255,100,300,eSun ABS+ warps less than standard ABS.,abs_generic
Bambu Lab X1C,TPU,Overture,230,40,30,AMS NOT COMPATIBLE. Use external spool holder.,tpu_generic
Bambu Lab X1C,TPU,Sainsmart,230,40,30,Standard High Flow profile.,tpu_generic
Prusa MK4,PLA,Prusament,215,60,100,Reference quality. Perfect winding.,pla_generic
Prusa MK4,PLA,Hatchbox,210,60,100,Works perfectly with Prusament profile.,pla_generic
Prusa MK4,PLA,Overture,210,60,100,Good alternative to Prusament.,pla_generic
Prusa MK4,PETG,Prusament,250,85,100,Textured sheet heavily recommended.,petg_prusa
Prusa MK4,PETG,Overture,245,85,80,Slightly cooler than Prusament.,petg_generic
Prusa MK4,ASA,Prusament,260,105,50,Requires enclosure or draft shield.,abs_generic
Prusa MK4,PVB,Polymaker,215,75,45,Smooth with isopropyl alcohol.,pla_generic
Prusa MK3S,PLA,Hatchbox,210,60,60,Old reliable settings.,pla_generic
Prusa MK3S,PETG,Overture,240,85,50,Use Windex as release agent on smooth sheet.,petg_generic
Anycubic Kobra,PLA,Hatchbox,200,60,50,Standard PLA profile.,pla_generic
Anycubic Kobra,PETG,Sunlu,235,70,40,Needs drying. Stringy if wet.,petg_generic
Creality K1,PLA,Hyper PLA,220,60,300,Designed for 300mm/s+.,bambu_pla
Creality K1,PLA,Sunlu,220,60,250,Works well at high speed.,pla_generic
